date,store_nbr,item_nbr,units,sum_units
2013-10-26,1,9,39,27396
2012-07-26,1,9,18,27396
2012-07-31,1,9,11,27396
2012-06-02,1,9,19,27396
2012-11-13,1,9,31,27396
2012-01-23,1,9,2,27396
2013-03-05,1,9,23,27396
2014-10-19,1,9,62,27396
2013-12-17,1,9,16,27396
2014-10-14,1,9,12,27396
2012-01-29,1,9,185,27396
2012-08-18,1,9,76,27396
2012-08-11,1,9,48,27396
2013-11-23,1,9,59,27396
2013-04-07,1,9,46,27396
2012-08-26,1,9,64,27396
2012-12-23,1,9,50,27396
2014-09-20,1,9,29,27396
2014-03-08,1,9,55,27396
2013-07-28,1,9,15,27396
2012-01-22,1,9,52,27396
2014-05-22,1,9,2,27396
2014-02-06,1,9,18,27396
2014-01-06,1,9,44,27396
2014-01-19,1,9,31,27396
2012-07-20,1,9,20,27396
2012-03-06,1,9,33,27396
2014-04-05,1,9,61,27396
2014-03-01,1,9,25,27396
2013-10-22,1,9,7,27396
2014-02-09,1,9,61,27396
2012-11-07,1,9,65,27396
2012-10-22,1,9,25,27396
2014-08-31,1,9,7,27396
2012-11-02,1,9,6,27396
2012-03-16,1,9,4,27396
2012-11-30,1,9,18,27396
2013-09-01,1,9,62,27396
2014-01-16,1,9,32,27396
2013-07-07,1,9,42,27396
2013-03-07,1,9,47,27396
2013-07-08,1,9,8,27396
2014-07-10,1,9,10,27396
2014-08-22,1,9,14,27396
2012-10-01,1,9,25,27396
2012-10-14,1,9,115,27396
2014-08-02,1,9,93,27396
2012-02-04,1,9,207,27396
2014-09-29,1,9,1,27396
2013-01-17,1,9,17,27396
2013-10-20,1,9,30,27396
2014-05-05,1,9,18,27396
2012-04-18,1,9,20,27396
2014-05-02,1,9,17,27396
2012-03-04,1,9,19,27396
2012-07-17,1,9,24,27396
2012-03-09,1,9,12,27396
2013-02-26,1,9,15,27396
2013-11-02,1,9,16,27396
2012-10-12,1,9,39,27396
2014-08-26,1,9,12,27396
2012-07-07,1,9,57,27396
2014-09-30,1,9,1,27396
2014-06-21,1,9,11,27396
2014-09-01,1,9,34,27396
2014-09-26,1,9,21,27396
2013-02-04,1,9,64,27396
2012-01-20,1,9,38,27396
2014-06-13,1,9,10,27396
2014-09-27,1,9,38,27396
2014-05-29,1,9,13,27396
2012-06-25,1,9,15,27396
2012-03-15,1,9,16,27396
2013-10-02,1,9,17,27396
2012-09-17,1,9,26,27396
2013-10-03,1,9,15,27396
2012-05-08,1,9,43,27396
2013-09-18,1,9,22,27396
2013-05-06,1,9,38,27396
2012-11-29,1,9,33,27396
2012-12-15,1,9,87,27396
2013-07-19,1,9,12,27396
2013-02-22,1,9,58,27396
2012-12-16,1,9,42,27396
2012-04-06,1,9,23,27396
2012-01-01,1,9,29,27396
2013-01-21,1,9,11,27396
2014-01-26,1,9,67,27396
2014-03-04,1,9,16,27396
2014-05-13,1,9,113,27396
2014-03-26,1,9,2,27396
2013-07-13,1,9,33,27396
2014-06-01,1,9,31,27396
2014-02-08,1,9,58,27396
2012-01-25,1,9,11,27396
2014-08-21,1,9,21,27396
2014-10-28,1,9,15,27396
2013-02-27,1,9,37,27396
2013-04-12,1,9,19,27396
2012-02-17,1,9,72,27396
2012-07-02,1,9,24,27396
2013-02-02,1,9,52,27396
2014-02-10,1,9,21,27396
2014-10-18,1,9,9,27396
2014-05-19,1,9,15,27396
2012-02-26,1,9,47,27396
2012-04-25,1,9,7,27396
2014-07-19,1,9,27,27396
2014-07-11,1,9,19,27396
2014-10-30,1,9,18,27396
2013-04-15,1,9,63,27396
2013-04-20,1,9,63,27396
2012-01-14,1,9,48,27396
2012-08-16,1,9,29,27396
2012-07-16,1,9,21,27396
2013-05-31,1,9,44,27396
2014-03-12,1,9,57,27396
2014-02-23,1,9,31,27396
2012-02-10,1,9,17,27396
2012-08-24,1,9,19,27396
2012-12-20,1,9,27,27396
2012-01-21,1,9,26,27396
2014-02-26,1,9,9,27396
2012-08-10,1,9,54,27396
2012-06-30,1,9,9,27396
2013-05-29,1,9,17,27396
2014-02-20,1,9,53,27396
2012-01-03,1,9,15,27396
2014-09-19,1,9,12,27396
2013-01-05,1,9,84,27396
2014-08-19,1,9,50,27396
2014-03-11,1,9,6,27396
2014-02-19,1,9,7,27396
2014-08-17,1,9,37,27396
2012-09-10,1,9,36,27396
2013-05-11,1,9,61,27396
2013-03-30,1,9,22,27396
2013-03-08,1,9,45,27396
2014-03-15,1,9,29,27396
2012-05-03,1,9,47,27396
2013-05-05,1,9,41,27396
2014-03-17,1,9,37,27396
2014-02-17,1,9,27,27396
2012-06-26,1,9,13,27396
2013-04-08,1,9,38,27396
2013-05-10,1,9,33,27396
2012-04-24,1,9,9,27396
2013-04-13,1,9,10,27396
2012-08-20,1,9,26,27396
2012-01-28,1,9,115,27396
2012-01-30,1,9,73,27396
2013-05-21,1,9,21,27396
2013-04-21,1,9,57,27396
2012-03-28,1,9,24,27396
2012-01-07,1,9,2,27396
2014-07-22,1,9,41,27396
2013-03-13,1,9,25,27396
2012-12-24,1,9,1,27396
2012-02-28,1,9,15,27396
2012-08-31,1,9,4,27396
2012-03-29,1,9,19,27396
2012-04-13,1,9,45,27396
2012-08-23,1,9,21,27396
2013-04-19,1,9,15,27396
2012-12-05,1,9,25,27396
2012-03-17,1,9,29,27396
2014-02-13,1,9,3,27396
2012-07-03,1,9,45,27396
2014-05-12,1,9,22,27396
2012-09-03,1,9,54,27396
2013-02-24,1,9,52,27396
2014-09-23,1,9,22,27396
2014-03-06,1,9,12,27396
2013-06-13,1,9,36,27396
2012-02-15,1,9,5,27396
2013-08-26,1,9,16,27396
2014-03-23,1,9,33,27396
2014-01-23,1,9,5,27396
2013-02-11,1,9,20,27396
2012-06-19,1,9,10,27396
2014-02-07,1,9,42,27396
2012-10-06,1,9,37,27396
2014-03-02,1,9,56,27396
2013-06-12,1,9,27,27396
2012-12-01,1,9,53,27396
2013-01-31,1,9,7,27396
2014-08-25,1,9,31,27396
2014-08-27,1,9,24,27396
2014-01-05,1,9,60,27396
2014-06-04,1,9,50,27396
2014-01-30,1,9,13,27396
2013-10-07,1,9,47,27396
2012-03-23,1,9,9,27396
2013-10-01,1,9,5,27396
2013-02-10,1,9,53,27396
2012-02-06,1,9,47,27396
2013-06-02,1,9,10,27396
2012-03-14,1,9,21,27396
2013-03-12,1,9,10,27396
2013-07-27,1,9,30,27396
2012-02-03,1,9,104,27396
2012-03-13,1,9,29,27396
2014-02-28,1,9,22,27396
2014-10-15,1,9,8,27396
2013-06-20,1,9,12,27396
2012-10-25,1,9,19,27396
2012-07-04,1,9,14,27396
2012-10-21,1,9,61,27396
2012-03-21,1,9,8,27396
2013-07-11,1,9,36,27396
2013-02-17,1,9,33,27396
2012-07-11,1,9,37,27396
2014-06-15,1,9,6,27396
2012-05-15,1,9,29,27396
2013-02-07,1,9,89,27396
2014-03-16,1,9,57,27396
2014-04-14,1,9,9,27396
2014-05-28,1,9,41,27396
2014-06-16,1,9,22,27396
2013-08-28,1,9,55,27396
2012-09-12,1,9,44,27396
2012-10-20,1,9,30,27396
2013-02-23,1,9,28,27396
2012-05-17,1,9,17,27396
2014-05-03,1,9,35,27396
2012-09-22,1,9,43,27396
2012-04-08,1,9,31,27396
2013-08-16,1,9,51,27396
2013-08-24,1,9,49,27396
2012-09-28,1,9,25,27396
2012-09-23,1,9,41,27396
2013-12-11,1,9,9,27396
2014-08-09,1,9,47,27396
2013-06-27,1,9,11,27396
2013-01-30,1,9,10,27396
2013-09-08,1,9,24,27396
2014-09-24,1,9,22,27396
2012-05-27,1,9,19,27396
2013-12-03,1,9,19,27396
2012-09-21,1,9,47,27396
2012-09-26,1,9,28,27396
2013-05-18,1,9,65,27396
2013-01-25,1,9,23,27396
2013-06-21,1,9,25,27396
2014-06-28,1,9,56,27396
2013-10-28,1,9,53,27396
2012-07-25,1,9,33,27396
2012-02-07,1,9,31,27396
2012-01-27,1,9,33,27396
2013-11-11,1,9,28,27396
2013-01-20,1,9,11,27396
2014-05-23,1,9,27,27396
2013-12-08,1,9,9,27396
2012-09-16,1,9,81,27396
2012-09-04,1,9,39,27396
2013-09-04,1,9,35,27396
2013-04-26,1,9,16,27396
2014-06-26,1,9,5,27396
2014-01-04,1,9,54,27396
2012-04-04,1,9,17,27396
2013-10-08,1,9,38,27396
2013-12-04,1,9,29,27396
2014-06-18,1,9,1,27396
2012-11-16,1,9,24,27396
2013-03-22,1,9,6,27396
2013-10-23,1,9,32,27396
2012-07-28,1,9,30,27396
2012-11-08,1,9,17,27396
2013-12-12,1,9,62,27396
2012-10-28,1,9,18,27396
2012-04-30,1,9,6,27396
2012-06-08,1,9,8,27396
2012-05-05,1,9,61,27396
2013-10-19,1,9,67,27396
2012-06-15,1,9,42,27396
2013-01-13,1,9,71,27396
2013-04-27,1,9,25,27396
2014-04-28,1,9,10,27396
2014-06-07,1,9,5,27396
2013-10-31,1,9,14,27396
2012-04-19,1,9,17,27396
2012-12-29,1,9,33,27396
2013-05-22,1,9,4,27396
2013-07-14,1,9,41,27396
2012-11-22,1,9,17,27396
2014-01-11,1,9,61,27396
2012-02-12,1,9,80,27396
2012-10-11,1,9,7,27396
2012-06-18,1,9,10,27396
2013-10-13,1,9,41,27396
2013-03-15,1,9,40,27396
2013-01-19,1,9,93,27396
2013-01-24,1,9,9,27396
2014-03-19,1,9,15,27396
2012-08-30,1,9,35,27396
2013-12-06,1,9,64,27396
2012-06-24,1,9,38,27396
2014-08-05,1,9,53,27396
2013-05-07,1,9,45,27396
2013-08-30,1,9,20,27396
2012-07-23,1,9,17,27396
2012-06-04,1,9,21,27396
2014-07-24,1,9,41,27396
2013-11-05,1,9,11,27396
2012-09-05,1,9,22,27396
2013-10-15,1,9,32,27396
2014-04-24,1,9,15,27396
2012-02-08,1,9,43,27396
2013-05-30,1,9,41,27396
2012-12-26,1,9,16,27396
2012-04-21,1,9,19,27396
2012-08-25,1,9,30,27396
2013-10-12,1,9,42,27396
2012-11-10,1,9,48,27396
2014-10-02,1,9,47,27396
2013-11-09,1,9,34,27396
2012-06-22,1,9,10,27396
2012-11-17,1,9,62,27396
2013-01-23,1,9,12,27396
2012-11-11,1,9,55,27396
2012-09-11,1,9,40,27396
2014-02-01,1,9,30,27396
2014-10-16,1,9,3,27396
2014-05-10,1,9,22,27396
2012-11-03,1,9,103,27396
2014-08-06,1,9,19,27396
2012-08-08,1,9,129,27396
2012-06-12,1,9,81,27396
2012-11-25,1,9,70,27396
2013-02-18,1,9,32,27396
2013-02-08,1,9,17,27396
2013-03-02,1,9,81,27396
2012-01-17,1,9,40,27396
2013-12-14,1,9,22,27396
2014-10-03,1,9,5,27396
2013-09-03,1,9,27,27396
2012-03-19,1,9,14,27396
2012-04-29,1,9,38,27396
2012-02-13,1,9,21,27396
2013-03-01,1,9,63,27396
2014-04-07,1,9,10,27396
2012-12-08,1,9,37,27396
2013-08-21,1,9,22,27396
2012-11-19,1,9,23,27396
2013-12-19,1,9,18,27396
2014-07-20,1,9,41,27396
2012-08-29,1,9,15,27396
2013-11-13,1,9,39,27396
2012-06-11,1,9,32,27396
2013-12-23,1,9,15,27396
2013-03-19,1,9,43,27396
2013-12-24,1,9,4,27396
2012-06-29,1,9,44,27396
2013-05-16,1,9,38,27396
2013-05-17,1,9,73,27396
2012-02-25,1,9,60,27396
2014-01-12,1,9,19,27396
2012-11-26,1,9,20,27396
2013-01-11,1,9,59,27396
2012-02-22,1,9,36,27396
2014-01-03,1,9,5,27396
2014-10-01,1,9,21,27396
2013-09-28,1,9,22,27396
2014-02-22,1,9,52,27396
2013-03-18,1,9,23,27396
2013-10-14,1,9,39,27396
2012-11-09,1,9,38,27396
2013-12-16,1,9,21,27396
2013-10-24,1,9,14,27396
2012-10-10,1,9,14,27396
2014-09-16,1,9,8,27396
2014-10-04,1,9,41,27396
2013-11-10,1,9,35,27396
2012-08-22,1,9,11,27396
2014-08-18,1,9,54,27396
2013-10-16,1,9,32,27396
2014-09-14,1,9,29,27396
2013-12-15,1,9,65,27396
2012-05-29,1,9,28,27396
2014-08-04,1,9,25,27396
2012-04-28,1,9,44,27396
2014-02-21,1,9,47,27396
2014-03-09,1,9,58,27396
2012-05-24,1,9,5,27396
2012-05-14,1,9,26,27396
2012-06-17,1,9,19,27396
2012-06-09,1,9,36,27396
2012-06-05,1,9,26,27396
2012-07-14,1,9,57,27396
2013-09-02,1,9,48,27396
2013-02-28,1,9,14,27396
2014-04-22,1,9,23,27396
2014-05-17,1,9,5,27396
2012-12-03,1,9,20,27396
2014-03-20,1,9,2,27396
2013-01-15,1,9,68,27396
2014-01-28,1,9,58,27396
2014-06-29,1,9,17,27396
2012-11-04,1,9,72,27396
2013-12-22,1,9,17,27396
2013-04-03,1,9,31,27396
2012-12-30,1,9,26,27396
2012-08-13,1,9,28,27396
2013-11-12,1,9,10,27396
2012-07-10,1,9,26,27396
2013-09-16,1,9,26,27396
2013-07-16,1,9,49,27396
2012-03-26,1,9,6,27396
2013-04-04,1,9,12,27396
2013-01-09,1,9,8,27396
2012-03-11,1,9,56,27396
2012-06-14,1,9,7,27396
2014-09-22,1,9,9,27396
2012-10-03,1,9,4,27396
2012-05-01,1,9,24,27396
2013-12-02,1,9,30,27396
2013-01-28,1,9,8,27396
2012-04-20,1,9,20,27396
2013-05-19,1,9,30,27396
2014-01-27,1,9,16,27396
2014-09-12,1,9,11,27396
2012-03-24,1,9,22,27396
2014-06-25,1,9,5,27396
2014-10-09,1,9,16,27396
2013-05-28,1,9,7,27396
2013-12-13,1,9,29,27396
2013-05-02,1,9,10,27396
2014-03-14,1,9,51,27396
2013-02-19,1,9,86,27396
2013-01-22,1,9,31,27396
2012-11-06,1,9,31,27396
2013-05-12,1,9,19,27396
2013-03-31,1,9,36,27396
2012-05-21,1,9,12,27396
2013-03-28,1,9,4,27396
2012-03-12,1,9,15,27396
2012-06-03,1,9,13,27396
2012-02-23,1,9,14,27396
2013-08-19,1,9,56,27396
2014-06-05,1,9,11,27396
2013-10-18,1,9,25,27396
2012-03-08,1,9,6,27396
2013-07-15,1,9,7,27396
2014-06-20,1,9,12,27396
2013-08-15,1,9,25,27396
2013-08-14,1,9,18,27396
2012-06-01,1,9,15,27396
2012-11-01,1,9,18,27396
2013-11-22,1,9,31,27396
2013-02-05,1,9,29,27396
2012-04-09,1,9,43,27396
2014-06-17,1,9,37,27396
2012-11-23,1,9,36,27396
2013-09-20,1,9,18,27396
2014-06-12,1,9,10,27396
2012-05-18,1,9,39,27396
2013-07-09,1,9,18,27396
2014-04-19,1,9,17,27396
2013-07-17,1,9,23,27396
2012-05-11,1,9,44,27396
2014-04-16,1,9,2,27396
2012-08-05,1,9,100,27396
2012-02-18,1,9,31,27396
2012-10-13,1,9,29,27396
2013-09-07,1,9,30,27396
2014-05-04,1,9,28,27396
2012-04-11,1,9,14,27396
2012-08-01,1,9,43,27396
2014-09-21,1,9,22,27396
2012-05-16,1,9,13,27396
2014-09-08,1,9,7,27396
2014-05-06,1,9,17,27396
2012-11-18,1,9,73,27396
2012-01-24,1,9,11,27396
2014-04-13,1,9,23,27396
2012-08-04,1,9,28,27396
2014-04-23,1,9,24,27396
2014-09-28,1,9,24,27396
2012-04-03,1,9,21,27396
2013-03-23,1,9,26,27396
2013-02-03,1,9,29,27396
2013-03-25,1,9,20,27396
2012-10-31,1,9,7,27396
2014-04-18,1,9,8,27396
2014-06-03,1,9,55,27396
2012-07-08,1,9,23,27396
2012-03-30,1,9,52,27396
2013-03-24,1,9,103,27396
2013-02-06,1,9,57,27396
2013-01-26,1,9,53,27396
2013-09-23,1,9,28,27396
2012-08-09,1,9,35,27396
2013-07-18,1,9,20,27396
2013-08-27,1,9,19,27396
2012-05-28,1,9,44,27396
2014-05-27,1,9,3,27396
2012-09-15,1,9,39,27396
2013-03-29,1,9,17,27396
2013-03-11,1,9,19,27396
2014-05-09,1,9,12,27396
2012-10-24,1,9,27,27396
2012-01-16,1,9,31,27396
2012-05-09,1,9,17,27396
2012-01-26,1,9,31,27396
2012-09-29,1,9,35,27396
2012-10-23,1,9,16,27396
2012-06-20,1,9,28,27396
2013-08-22,1,9,28,27396
2012-12-13,1,9,39,27396
2013-10-06,1,9,60,27396
2014-01-31,1,9,33,27396
2014-01-22,1,9,3,27396
2012-02-14,1,9,69,27396
2012-09-30,1,9,56,27396
2014-01-20,1,9,37,27396
2013-09-19,1,9,20,27396
2012-12-11,1,9,22,27396
2012-12-28,1,9,91,27396
2012-04-05,1,9,18,27396
2012-07-19,1,9,6,27396
2014-05-20,1,9,7,27396
2013-02-14,1,9,2,27396
2012-08-02,1,9,50,27396
2014-04-03,1,9,6,27396
2014-01-25,1,9,47,27396
2012-12-10,1,9,13,27396
2013-07-06,1,9,17,27396
2013-03-17,1,9,40,27396
2012-12-02,1,9,76,27396
2014-08-28,1,9,15,27396
2012-12-07,1,9,52,27396
2013-09-30,1,9,26,27396
2014-05-16,1,9,16,27396
